token_count,complexity_score,coding,reasoning,creative_writing,summarization,question_answering,instruction_following,long_form,has_code_block,question_count_norm,label
51,0.455,1.0,0.349,0.0,0.072,0.276,0.58,0.193,1,0.17,claude-sonnet
96,0.874,0.186,0.729,0.63,0.042,0.203,0.458,0.748,0,0.472,claude-opus
78,0.422,0.618,0.585,0.187,0.204,0.293,0.801,0.0,1,0.27,gpt-4o
251,0.561,0.055,0.407,0.15,0.689,0.266,0.195,0.889,0,0.273,gemini-1.5-pro
43,0.332,0.605,0.15,0.166,0.067,0.277,0.432,0.074,1,0.235,claude-sonnet
17,0.141,0.083,0.022,0.036,0.636,0.529,0.0,0.0,0,0.346,gpt-4o-mini
1,0.107,0.055,0.078,0.397,0.158,0.484,0.445,0.107,0,0.473,gpt-4o-mini
73,0.468,0.101,0.306,0.062,0.08,0.252,0.52,0.0,0,0.364,claude-sonnet
14,0.103,0.059,0.016,0.291,0.852,0.459,0.486,0.0,0,0.275,gpt-4o-mini
66,0.641,0.616,0.75,0.164,0.2,0.239,0.324,0.103,0,0.176,gpt-4o
32,0.417,0.218,0.341,0.352,0.147,0.372,0.47,0.0,1,0.281,claude-sonnet
23,0.428,0.651,0.599,0.246,0.17,0.203,0.945,0.0,1,0.215,claude-sonnet
52,0.61,0.856,0.822,0.0,0.095,0.087,0.416,0.035,1,0.396,gpt-4o
298,0.571,0.208,0.46,0.094,0.781,0.206,0.0,0.954,0,0.142,gemini-1.5-pro
43,0.608,0.867,0.497,0.043,0.178,0.151,0.41,0.082,0,0.313,gpt-4o
25,0.08,0.112,0.0,0.135,0.377,0.696,0.106,0.0,0,0.33,claude-haiku
53,0.483,0.854,0.272,0.119,0.0,0.294,0.515,0.112,0,0.263,claude-sonnet
21,0.519,0.815,0.144,0.244,0.0,0.178,0.425,0.029,1,0.1,claude-sonnet
42,0.345,0.508,0.48,0.007,0.008,0.387,0.589,0.089,0,0.044,claude-sonnet
95,0.865,0.197,0.661,0.749,0.047,0.378,0.377,0.799,0,0.246,claude-opus
12,0.085,0.054,0.045,0.127,0.247,0.936,0.138,0.037,0,0.296,claude-haiku
6,0.141,0.0,0.046,0.463,0.067,0.56,0.49,0.0,0,0.431,gpt-4o-mini
106,0.897,0.094,0.949,0.783,0.105,0.186,0.46,0.585,0,0.472,claude-opus
13,0.074,0.031,0.0,0.176,0.454,0.924,0.167,0.0,0,0.171,claude-haiku
71,0.443,0.314,0.57,0.05,0.065,0.204,0.671,0.0,0,0.034,gpt-4o
114,0.761,0.345,0.867,0.831,0.045,0.299,0.241,0.48,0,0.457,claude-opus
98,0.829,0.117,0.942,0.648,0.044,0.01,0.414,0.52,0,0.421,claude-opus
109,0.82,0.0,0.786,0.86,0.248,0.246,0.775,0.705,1,0.726,claude-opus
99,0.741,0.412,0.775,0.183,0.041,0.068,0.669,0.11,1,0.316,gpt-4o
37,0.108,0.0,0.0,0.394,0.465,0.272,0.24,0.109,0,0.128,gpt-4o-mini
53,0.367,0.807,0.147,0.091,0.202,0.281,0.708,0.216,1,0.356,claude-sonnet
186,0.529,0.075,0.462,0.068,0.841,0.492,0.048,0.979,0,0.132,gemini-1.5-pro
45,0.525,0.578,0.571,0.126,0.0,0.328,0.634,0.009,1,0.312,claude-sonnet
103,0.767,0.452,0.952,0.449,0.0,0.098,0.504,0.37,1,0.304,claude-opus
13,0.15,0.0,0.24,0.101,0.686,0.842,0.284,0.0,0,0.217,gpt-4o-mini
198,0.478,0.278,0.331,0.072,0.644,0.233,0.378,0.925,0,0.0,gemini-1.5-pro
16,0.05,0.0,0.0,0.093,0.474,0.852,0.023,0.0,0,0.0,claude-haiku
46,0.336,0.798,0.226,0.477,0.006,0.131,0.689,0.008,0,0.299,claude-sonnet
